cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2025-09-30,2025-09-30,INE758T01015,ETERNAL,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (14667845264 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (14436627473 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (12232390673 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (12058292079 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (11280789134 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE377N01017,WAAREEENER,Waaree Energies Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (9552614664 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (8916295293 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (8830551857 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE646L01027,INDIGO,InterGlobe Aviation Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (7541174902 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (6969420416 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE296A01032,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (6847420471 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE00H001014,SWIGGY,Swiggy Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (6783096614 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE585B01010,MARUTI,Maruti Suzuki India Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (6307431179 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (6033744373 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE982J01020,PAYTM,One 97 Communications Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (6006720068 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE0NT901020,NETWEB,Netweb Technologies India Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (5910230702 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE263A01024,BEL,Bharat Electronics Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (5460453047 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE066F01020,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (5447172946 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE849A01020,TRENT,Trent Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (5109182203 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
liquid-2025-09-30,2025-09-30,INE154A01025,ITC,ITC Limited,,traded EQ every one of 60 sessions to 2025-09-30; rank by mean daily traded value (4990620408 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/SEP/cm30SEP2025bhav.csv.zip,
