cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2026-06-30,2026-06-30,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (25312277044 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (17714649867 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (17443734334 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (15851090775 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE205A01025,VEDL,Vedanta Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (12461277403 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (11464204982 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE0HOQ01053,GROWW,,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (10854850283 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (10645287937 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE814H01029,ADANIPOWER,Adani Power Limited,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (10267889466 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
liquid-2026-06-30,2026-06-30,INE745G01043,MCX,,,traded EQ every one of 60 sessions to 2026-06-30; rank by mean daily traded value (9961850598 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/JUN/cm30JUN2026bhav.csv.zip,
