cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2023-12-31,2023-12-31,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (13171222779 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (7981170158 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE296A01024,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (7968641947 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE758T01015,ZOMATO,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (7784261490 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE423A01024,ADANIENT,Adani Enterprises Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (7562338103 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (7337898776 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (7144521208 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE053F01010,IRFC,,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (6798800742 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (5577092352 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
liquid-2023-12-31,2023-12-31,INE134E01011,PFC,Power Finance Corporation Limited,,traded EQ every one of 60 sessions to 2023-12-31; rank by mean daily traded value (5555921107 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/DEC/cm31DEC2023bhav.csv.zip,
