cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2023-06-30,2023-06-30,INE423A01024,ADANIENT,Adani Enterprises Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (13141196960 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (12276610799 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE001A01036,HDFC,Housing Development Finance Corporation Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (12156652597 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (9878290104 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (6618616579 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (6379782817 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE296A01024,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (6037341998 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE066F01012,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (5276842169 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE758T01015,ZOMATO,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4915173669 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4680274869 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE742F01042,ADANIPORTS,Adani Ports and Special Economic Zone Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4549339059 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4444907850 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE154A01025,ITC,ITC Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4436820083 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE415G01027,RVNL,Rail Vikas Nigam Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4412540248 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE585B01010,MARUTI,Maruti Suzuki India Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (4205766761 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE030A01027,HINDUNILVR,Hindustan Unilever Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (3482986260 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE249Z01012,MAZDOCK,Mazagon Dock Shipbuilders Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (3482733470 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE081A01020,TATASTEEL,Tata Steel Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (3387551113 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
liquid-2023-06-30,2023-06-30,INE982J01020,PAYTM,One 97 Communications Limited,,traded EQ every one of 60 sessions to 2023-06-30; rank by mean daily traded value (3202280873 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm30JUN2023bhav.csv.zip,
