cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2026-03-31,2026-03-31,INE121E01018,JSWENERGY,JSW Energy Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1604799358 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE209L01016,JWL,Jupiter Wagons Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1604070078 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE545A01024,HEG,HEG Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1573445966 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE388Y01029,NYKAA,FSN E-Commerce Ventures Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1565233702 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE061F01013,FORTIS,Fortis Healthcare Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1525249326 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE367G01038,PFOCUS,Prime Focus Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1490539565 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE891D01026,REDINGTON,Redington Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1485326844 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE102D01028,GODREJCP,Godrej Consumer Products Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1484873829 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE0W2G01015,SAGILITY,SAGILITY LIMITED,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1481447115 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE704P01025,COCHINSHIP,Cochin Shipyard Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1479573813 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1453396237 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE356A01018,MPHASIS,MphasiS Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1451250884 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE192A01025,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1450411426 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE335Y01020,IRCTC,Indian Railway Catering And Tourism Corporation Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1438562367 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE974X01010,TIINDIA,Tube Investments of India Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1437917339 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE239A01024,NESTLEIND,Nestle India Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1428683437 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE548A01028,HFCL,HFCL Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1428249647 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE109A01011,SCI,Shipping Corporation Of India Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1420355491 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE0LEZ01016,ATHERENERG,,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1410024767 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE04I401011,KPITTECH,KPIT Technologies Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1390569849 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE346A01027,ICICIAMC,,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1390187790 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE765G01017,ICICIGI,,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1388823336 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE292B01021,HBLENGINE,HBL Engineering Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1379739131 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE776C01039,GMRAIRPORT,GMR AIRPORTS LIMITED,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1360597580 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE0Q3J01015,KRN,KRN Heat Exchanger and Refrigeration Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1359398246 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE841L01016,DEEDEV,DEE Development Engineers Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1357010480 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
