cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2024-09-30,2024-09-30,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (18941994685 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE415G01027,RVNL,Rail Vikas Nigam Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (18649508611 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE758T01015,ZOMATO,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (16108854016 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (14024430552 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE249Z01012,MAZDOCK,Mazagon Dock Shipbuilders Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (12865070667 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (12810104169 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE066F01020,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (11052432091 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE053F01010,IRFC,,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (10908858433 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (10863434561 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (9732416821 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE263A01024,BEL,Bharat Electronics Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (9223992731 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE202E01016,IREDA,,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (8957430780 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE669E01016,IDEA,Vodafone Idea Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (8938190421 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (8711687382 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (8547789187 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE296A01024,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (8425513073 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
liquid-2024-09-30,2024-09-30,INE213A01029,ONGC,Oil & Natural Gas Corporation Limited,,traded EQ every one of 60 sessions to 2024-09-30; rank by mean daily traded value (7861640615 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/SEP/cm30SEP2024bhav.csv.zip,
