cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2025-12-31,2025-12-31,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (15207917905 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (15092445623 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (13036481564 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (12716117007 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE669E01016,IDEA,Vodafone Idea Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (10296911652 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE646L01027,INDIGO,InterGlobe Aviation Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (9688440376 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE918Z01012,KAYNES,Kaynes Technology India Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (9347594766 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE531E01026,HINDCOPPER,Hindustan Copper Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (8972877228 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (8921798234 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE758T01015,ETERNAL,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (8821174792 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (7287609964 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE296A01032,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (6936514025 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE721A01047,SHRIRAMFIN,Shriram Finance Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (6881874878 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (6177976572 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE205A01025,VEDL,Vedanta Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (6146783383 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE155A01022,TMPV,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (5708022853 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
liquid-2025-12-31,2025-12-31,INE0NT901020,NETWEB,Netweb Technologies India Limited,,traded EQ every one of 60 sessions to 2025-12-31; rank by mean daily traded value (5619955149 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/DEC/cm31DEC2025bhav.csv.zip,
