cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2024-06-30,2024-06-30,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (18826511810 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE669E01016,IDEA,Vodafone Idea Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (17443409234 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE066F01020,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (17253075486 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (12934628754 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE263A01024,BEL,Bharat Electronics Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (12609529955 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE249Z01012,MAZDOCK,Mazagon Dock Shipbuilders Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (12021881222 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (11608194959 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (11595104671 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (11452801561 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE020B01018,RECLTD,REC Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (11189241881 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
liquid-2024-06-30,2024-06-30,INE121J01017,INDUSTOWER,Indus Towers Limited,,traded EQ every one of 60 sessions to 2024-06-30; rank by mean daily traded value (11052288362 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm30JUN2024bhav.csv.zip,
