cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2024-12-31,2024-12-31,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (19921076860 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE758T01015,ZOMATO,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (15549183807 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (15347693299 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (10459612272 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (10214412508 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (9896951034 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (9221183492 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE982J01020,PAYTM,One 97 Communications Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (9036483678 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (8955374718 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE935N01020,DIXON,Dixon Technologies (India) Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (8953751823 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE736A01011,CDSL,Central Depository Services (India) Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (7452387668 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE423A01024,ADANIENT,Adani Enterprises Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (7365331548 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (7163972178 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE296A01024,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (6675573734 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
liquid-2024-12-31,2024-12-31,INE732I01013,ANGELONE,Angel One Limited,,traded EQ every one of 60 sessions to 2024-12-31; rank by mean daily traded value (6630146344 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2024/DEC/cm31DEC2024bhav.csv.zip,
